epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,245.763,1.45931,0.67851,1.27182,0.99204,1,0.995,0.56438,1.76036,0.65348,1.41144,0.0016634,0.0016634,0.0016634
70,249.255,1.35948,0.66819,1.22653,0.99265,1,0.995,0.53777,1.77173,0.65385,1.43183,0.00165845,0.00165845,0.00165845
71,252.776,1.37331,0.63519,1.23255,0.99332,1,0.995,0.51566,1.70749,0.61747,1.38041,0.0016535,0.0016535,0.0016535
72,256.309,1.36045,0.63504,1.21967,0.99404,1,0.995,0.47798,1.7717,0.58969,1.40709,0.00164855,0.00164855,0.00164855
73,259.801,1.40061,0.65383,1.27697,0.99398,1,0.995,0.43026,1.84651,0.6618,1.46316,0.0016436,0.0016436,0.0016436
74,263.541,1.40186,0.6906,1.28332,0.99366,1,0.995,0.4937,1.84129,0.5919,1.45871,0.00163865,0.00163865,0.00163865
75,267.056,1.38555,0.65494,1.25874,0.99392,1,0.995,0.48697,1.8163,0.57313,1.41758,0.0016337,0.0016337,0.0016337
76,270.565,1.3677,0.65828,1.25506,0.99274,1,0.995,0.54534,1.68566,0.64603,1.34222,0.00162875,0.00162875,0.00162875
77,274.138,1.41115,0.66247,1.27917,0.74626,0.4,0.50534,0.15207,2.25581,2.79857,1.72072,0.0016238,0.0016238,0.0016238
78,277.654,1.3553,0.6504,1.25772,0.99245,1,0.995,0.49921,1.86187,0.62759,1.49963,0.00161885,0.00161885,0.00161885
79,281.18,1.34891,0.66492,1.24777,0.97696,1,0.995,0.57,1.68182,0.60727,1.42485,0.0016139,0.0016139,0.0016139
80,284.654,1.33594,0.67966,1.25452,0.95926,1,0.995,0.55488,1.73528,0.62423,1.42729,0.00160895,0.00160895,0.00160895
81,288.138,1.35087,0.6474,1.25689,0.93724,1,0.995,0.56565,1.6236,0.62729,1.38714,0.001604,0.001604,0.001604
82,291.856,1.36874,0.66215,1.2488,0.98956,1,0.995,0.59412,1.62398,0.6244,1.34941,0.00159905,0.00159905,0.00159905
83,295.335,1.40249,0.67585,1.29032,0.9881,1,0.995,0.58224,1.62041,0.59467,1.33289,0.0015941,0.0015941,0.0015941
84,298.869,1.34142,0.66381,1.28067,0.99338,1,0.995,0.5748,1.70713,0.5722,1.41858,0.00158915,0.00158915,0.00158915
85,302.358,1.29793,0.65521,1.24009,0.99108,1,0.995,0.58645,1.62618,0.64929,1.43258,0.0015842,0.0015842,0.0015842
