obs_index	inference_time_sec	image_proc_time_sec
362	0.428356	0.011159
363	0.399018	0.026544
364	0.511436	0.020798
365	0.389476	0.012996
366	0.533253	0.01694
367	0.422695	0.01777
368	0.531385	0.019743
369	0.475383	0.015238
370	0.402874	0.019502
371	0.426659	0.01216
372	0.526434	0.016004
373	0.491232	0.026003
374	0.500903	0.012796
375	0.400997	0.014599
376	0.528916	0.023436
377	0.581867	0.023131
378	0.49107	0.021617
379	0.484577	0.017967
380	0.451755	0.015326
381	0.512601	0.01582
382	0.418821	0.016399
383	0.392838	0.013869
384	0.414582	0.02262
385	0.530404	0.013898
386	0.458091	0.012784
387	0.534467	0.014199
388	0.455197	0.014733
389	0.356784	0.011137
390	0.33962	0.010624
391	0.403059	0.010787
392	0.385714	0.013928
393	0.409808	0.012033
394	0.4097	0.00978
395	0.410345	0.013632
396	0.456427	0.011051
397	0.415382	0.013746
398	0.38348	0.014023
399	0.365022	0.013457
400	0.409813	0.018581
401	0.375859	0.01498
402	0.441817	0.012132
403	0.494444	0.013524
404	0.869251	0.017474
405	0.671335	0.02519
406	0.44887	0.013327
407	0.658107	0.01387
408	0.655599	0.03813
409	0.580927	0.071135
410	0.706183	0.015744
411	0.576229	0.048478
412	0.481044	0.012583
413	0.45315	0.013763
414	0.514235	0.016096
415	0.498168	0.011629
416	0.425012	0.015891
417	0.472281	0.016459
418	0.441683	0.015057
419	0.42879	0.013429
420	0.460092	0.013075
421	0.377681	0.011914
422	0.466182	0.015643
423	0.373764	0.012987
424	0.43449	0.015177
425	0.452816	0.01144
426	0.438538	0.01502
427	0.573301	0.016856
428	1.081318	0.015151
429	1.368397	0.033722
430	1.662337	0.039353
431	1.579352	0.03483
432	2.354553	0.035702
433	1.483382	0.072163
434	1.063472	0.023147
435	1.485236	0.029562
436	1.029576	0.019131
437	1.394822	0.022296
438	1.472892	0.03924
439	1.327875	0.038331
440	0.790712	0.028471
441	0.713919	0.022019
442	0.577726	0.022498
443	0.508631	0.015214
444	0.909111	0.020924
445	0.678985	0.029145
446	0.546073	0.017828
447	0.67202	0.025797
448	0.508618	0.017303
449	0.599112	0.025435
450	0.681851	0.020064
451	0.47271	0.017859
452	0.466982	0.020623
453	0.500679	0.015194
454	0.440582	0.013101
455	0.495612	0.018651
456	0.535001	0.013559
457	0.521422	0.01546
458	0.429585	0.016019
