obs_index	inference_time_sec	image_proc_time_sec
459	0.473038	0.026707
460	0.676531	0.018873
461	0.687426	0.040116
462	0.682104	0.031782
463	0.666648	0.019172
464	0.756291	0.020092
465	0.565555	0.017812
466	0.632946	0.018469
467	0.737493	0.022156
468	0.648691	0.014934
469	0.625396	0.023107
470	0.699606	0.013451
471	0.620858	0.025403
472	0.493008	0.015905
473	0.602223	0.016056
474	0.808278	0.023188
475	0.805194	0.028955
476	0.591565	0.019784
477	0.683293	0.022123
478	0.54959	0.014303
479	0.597928	0.018044
480	0.543807	0.02376
481	0.699866	0.018955
482	0.720573	0.019898
483	0.557831	0.015482
484	0.920478	0.030411
485	0.756919	0.022658
486	0.841021	0.025495
487	0.686568	0.027109
488	0.545406	0.026905
489	0.668588	0.018416
490	0.579953	0.024225
491	0.506557	0.017169
492	0.974411	0.016824
493	0.726272	0.014404
494	0.615349	0.017463
495	0.883794	0.022344
496	0.732579	0.01579
497	0.646327	0.014515
498	0.525437	0.02156
499	0.849672	0.024239
500	0.74088	0.03431
501	0.816136	0.022987
502	0.527973	0.021422
503	0.619331	0.017983
504	0.619518	0.0233
505	0.881239	0.022874
506	0.594113	0.020717
507	0.732396	0.018483
508	0.560267	0.014332
509	0.575727	0.027626
510	0.659273	0.032285
511	0.605373	0.022235
512	0.493346	0.01436
513	0.533345	0.019553
514	0.878518	0.024965
515	0.556886	0.015942
516	0.644398	0.021309
517	0.581097	0.016105
518	0.6218	0.02008
519	0.825289	0.020851
520	0.773853	0.021753
521	0.629623	0.02057
522	0.722416	0.026422
523	0.552757	0.016543
524	0.521715	0.020625
525	0.733994	0.02189
526	0.733379	0.022644
527	0.543874	0.013076
528	0.44714	0.022981
529	0.716882	0.021184
530	0.470748	0.018002
531	0.713735	0.018076
532	0.745371	0.024769
533	0.839685	0.017897
534	0.608552	0.020935
535	0.600293	0.017806
536	0.515552	0.015975
537	0.576568	0.029671
538	0.847092	0.014617
539	0.530863	0.014554
540	0.533462	0.015993
541	0.558241	0.018202
542	0.494875	0.02471
543	0.661423	0.021435
544	0.587476	0.015411
545	0.613743	0.018237
546	0.632215	0.018157
547	0.52979	0.019625
548	0.552705	0.017763
549	0.866355	0.025939
550	0.893648	0.021187
551	0.518046	0.019299
552	0.623315	0.015426
553	0.583033	0.021465
554	0.703092	0.016201
555	1.090548	0.0259
556	0.688465	0.015983
557	0.827532	0.022664
558	0.568822	0.018681
559	0.733235	0.038955
560	0.683756	0.015721
561	0.483454	0.021511
562	0.925925	0.023957
563	0.685511	0.014648
564	0.60515	0.013211
565	0.961499	0.023958
566	0.721318	0.020817
567	0.560908	0.022217
568	0.663924	0.019084
569	0.660844	0.032485
570	0.607143	0.023889
571	0.565603	0.014804
572	0.53367	0.016681
573	0.798646	0.0324
574	0.411846	0.014323
575	0.440589	0.017427
576	0.421657	0.022776
577	0.488327	0.018122
578	0.503783	0.016981
579	0.599153	0.02285
580	0.515422	0.015122
581	0.490534	0.013825
582	0.412985	0.011493
583	0.42442	0.022116
584	0.409043	0.015866
585	0.521644	0.016738
586	0.402092	0.014812
587	0.470526	0.014254
588	0.543529	0.012406
589	0.532292	0.018532
590	0.540523	0.019912
591	0.456727	0.014745
592	0.455457	0.01288
593	0.389595	0.014663
594	0.475743	0.015688
595	0.492659	0.012649
596	0.447938	0.017609
597	0.490545	0.021491
598	0.450051	0.015861
599	0.642826	0.018891
600	0.410874	0.020262
601	0.40668	0.013854
602	0.379792	0.013912
603	0.436272	0.018828
604	0.409463	0.024383
605	0.372348	0.016853
606	0.595283	0.018409
607	0.352782	0.012
608	0.419731	0.018581
609	0.56962	0.012971
610	0.424414	0.016001
611	0.387639	0.010968
612	0.408263	0.023843
613	0.410933	0.012734
614	0.465414	0.012929
615	0.704213	0.019169
616	0.370577	0.011941
617	0.43038	0.012199
618	0.424226	0.016745
619	0.418177	0.013832
620	0.351549	0.011503
621	0.384052	0.013683
622	0.528309	0.010463
623	0.332094	0.011496
624	0.367494	0.011752
625	0.485164	0.012666
626	0.424552	0.019148
627	0.469018	0.01112
628	0.483378	0.0144
629	0.472019	0.019591
630	0.517864	0.018625
631	0.422412	0.010921
632	0.412752	0.014404
633	0.556379	0.022239
634	0.635324	0.016351
635	0.469918	0.018108
636	0.63476	0.017817
637	0.376515	0.012954
638	0.459124	0.013008
639	0.447236	0.02276
640	0.39264	0.012398
641	0.510235	0.016992
642	0.428836	0.013561
643	0.610017	0.027771
644	0.433456	0.01657
645	0.399289	0.015039
646	0.383151	0.014503
647	0.479203	0.021166
648	0.388809	0.012261
649	0.435425	0.01385
650	0.522191	0.014241
651	0.382955	0.012051
652	0.422237	0.011593
653	0.405703	0.014472
654	0.596845	0.019411
655	0.35783	0.017644
656	0.482308	0.018745
657	0.446282	0.012189
658	0.400463	0.027367
659	0.459693	0.022721
660	0.444297	0.013832
661	0.56553	0.019128
662	0.468561	0.02159
663	0.479045	0.01531
664	0.488835	0.017772
665	0.395826	0.024832
666	0.448893	0.015251
667	0.64996	0.022396
668	0.45303	0.014853
669	0.425849	0.015877
670	0.461247	0.010332
671	0.463395	0.016882
672	0.612738	0.016588
673	0.416803	0.014212
674	0.367908	0.016459
675	0.590047	0.014598
676	0.419107	0.018148
677	0.646767	0.01653
678	0.453936	0.01182
679	0.422808	0.011928
680	0.580897	0.014018
681	0.698553	0.021325
682	0.588032	0.015397
683	0.670671	0.028496
684	0.38284	0.023257
685	0.425543	0.012417
686	0.59549	0.016372
687	0.442253	0.026384
688	0.482575	0.029353
689	0.435713	0.018443
690	0.447375	0.011823
691	0.380981	0.018908
692	0.334721	0.015307
693	0.519875	0.014535
694	0.512406	0.01721
695	0.365172	0.01715
696	0.425862	0.012124
697	0.434481	0.015698
698	0.344714	0.011763
699	0.422038	0.015787
700	0.324672	0.012502
701	0.379481	0.014714
702	0.439253	0.014903
703	0.52687	0.0192
704	0.374652	0.015891
705	0.494948	0.023354
706	0.514384	0.016122
707	0.44625	0.015457
708	0.512673	0.01802
709	0.481569	0.013792
710	0.417611	0.012309
711	0.424198	0.017509
712	0.34382	0.011584
713	0.377104	0.016376
714	0.533854	0.024836
715	0.450475	0.01109
716	0.499056	0.01706
717	0.48843	0.016662
718	0.421022	0.01727
719	0.387564	0.015949
720	0.409935	0.017222
721	0.382395	0.02103
722	0.493373	0.016228
723	0.383468	0.019954
724	0.495211	0.012951
725	0.543666	0.027335
726	0.486969	0.016239
727	0.419723	0.010966
728	0.528368	0.02098
729	0.563464	0.016367
730	0.485169	0.012583
731	0.581368	0.014866
732	0.55575	0.01814
733	0.530284	0.01572
734	0.554946	0.013843
735	0.640701	0.020762
736	0.656749	0.015053
737	0.531334	0.022045
738	0.600359	0.024892
739	0.501022	0.015813
740	0.627497	0.020083
741	0.421048	0.014022
742	0.468611	0.015835
743	0.377667	0.013062
744	0.630989	0.020548
745	0.525288	0.021746
746	0.557454	0.012902
747	0.499629	0.019885
748	0.486347	0.024575
749	0.436885	0.014237
750	0.48451	0.022915
751	0.478402	0.014776
752	0.428916	0.013703
753	0.492826	0.018408
754	0.434289	0.014723
755	0.535633	0.01775
756	0.778539	0.022725
757	0.557256	0.017538
758	0.413724	0.014139
759	0.660747	0.021781
760	0.721945	0.015753
761	0.556091	0.017114
762	0.549588	0.014401
763	0.464888	0.015722
764	0.550653	0.013677
765	0.405616	0.014093
766	0.510794	0.017075
767	0.450292	0.02179
768	0.507172	0.014929
769	0.575426	0.019333
770	0.420926	0.014753
771	0.461137	0.021668
772	0.518522	0.017022
773	0.398468	0.013498
774	0.560101	0.019904
775	0.584353	0.024263
776	0.467778	0.014643
777	0.605968	0.022843
778	0.572653	0.021331
779	0.574394	0.012361
780	0.4669	0.013749
781	0.481657	0.016995
782	0.505647	0.013597
783	0.465158	0.017783
784	0.507106	0.0262
785	0.511041	0.01809
786	0.474849	0.013897
787	0.383947	0.011184
788	0.573108	0.014153
789	0.37125	0.013705
790	0.388507	0.010893
791	0.40837	0.021342
792	0.398728	0.012141
793	0.45358	0.01421
794	0.576966	0.016236
795	0.450058	0.012527
796	0.553831	0.012755
797	0.40313	0.015168
798	0.434099	0.010609
799	0.701801	0.019298
800	0.498175	0.017658
