epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,210.273,1.29968,0.64553,1.257,0.9942,1,0.995,0.56065,1.53309,0.59696,1.39151,0.0008318,0.0008318,0.0008318
61,213.752,1.26756,0.64864,1.2173,0.99396,1,0.995,0.60047,1.57901,0.60673,1.4098,0.000812,0.000812,0.000812
62,217.222,1.25161,0.66059,1.21926,0.99374,1,0.995,0.53387,1.59631,0.62252,1.44069,0.0007922,0.0007922,0.0007922
63,220.686,1.25879,0.65416,1.21248,0.99365,1,0.995,0.55694,1.66705,0.62611,1.46842,0.0007724,0.0007724,0.0007724
64,224.154,1.25616,0.61944,1.20011,0.99423,1,0.995,0.56707,1.82283,0.59761,1.56776,0.0007526,0.0007526,0.0007526
65,227.628,1.35677,0.63261,1.26888,0.99307,1,0.995,0.55406,1.80041,0.60201,1.51324,0.0007328,0.0007328,0.0007328
66,231.111,1.23616,0.59599,1.17661,0.99151,1,0.995,0.54524,1.72084,0.5969,1.4499,0.000713,0.000713,0.000713
67,234.597,1.30196,0.64358,1.23537,0.9928,1,0.995,0.58054,1.66287,0.57987,1.46826,0.0006932,0.0006932,0.0006932
68,238.075,1.23096,0.61427,1.1831,0.98897,1,0.995,0.56601,1.63661,0.57973,1.43593,0.0006734,0.0006734,0.0006734
69,241.559,1.30961,0.64097,1.21911,0.98072,1,0.995,0.53831,1.66291,0.60126,1.45303,0.0006536,0.0006536,0.0006536
70,245.033,1.23693,0.60437,1.17276,0.99306,1,0.995,0.53313,1.64339,0.61935,1.42375,0.0006338,0.0006338,0.0006338
71,248.508,1.25952,0.60094,1.18365,0.98492,1,0.995,0.539,1.64692,0.61646,1.43434,0.000614,0.000614,0.000614
72,251.972,1.23789,0.57806,1.16443,0.9887,1,0.995,0.54128,1.64617,0.60392,1.43844,0.0005942,0.0005942,0.0005942
73,255.45,1.24267,0.59281,1.20028,0.99271,1,0.995,0.53596,1.62566,0.59778,1.43708,0.0005744,0.0005744,0.0005744
74,258.913,1.26442,0.61072,1.21069,0.99274,1,0.995,0.53787,1.62844,0.59503,1.42131,0.0005546,0.0005546,0.0005546
75,262.383,1.22033,0.60973,1.18984,0.99179,1,0.995,0.55166,1.68905,0.59749,1.42697,0.0005348,0.0005348,0.0005348
76,265.857,1.23943,0.62106,1.19839,0.988,1,0.995,0.58527,1.64758,0.57836,1.42267,0.000515,0.000515,0.000515
77,269.334,1.26661,0.58245,1.21041,0.99307,1,0.995,0.54658,1.65308,0.58772,1.4489,0.0004952,0.0004952,0.0004952
78,272.8,1.22047,0.588,1.19809,0.99337,1,0.995,0.52316,1.66595,0.60461,1.44642,0.0004754,0.0004754,0.0004754
79,276.291,1.20593,0.57919,1.18729,0.9935,1,0.995,0.5222,1.65024,0.5835,1.42847,0.0004556,0.0004556,0.0004556
80,279.762,1.21222,0.60081,1.2001,0.99352,1,0.995,0.5624,1.64691,0.57613,1.42823,0.0004358,0.0004358,0.0004358
81,283.236,1.19151,0.54685,1.19788,0.99339,1,0.995,0.57271,1.6762,0.61069,1.45566,0.000416,0.000416,0.000416
82,286.693,1.16878,0.57522,1.16372,0.99356,1,0.995,0.57715,1.66885,0.57433,1.44061,0.0003962,0.0003962,0.0003962
83,290.169,1.19975,0.58305,1.19158,0.99485,1,0.995,0.55565,1.67336,0.58666,1.48075,0.0003764,0.0003764,0.0003764
84,293.631,1.17796,0.58142,1.21173,0.99446,1,0.995,0.56559,1.67239,0.57062,1.50124,0.0003566,0.0003566,0.0003566
85,297.095,1.0978,0.54116,1.13538,0.99422,1,0.995,0.56921,1.65802,0.55176,1.47846,0.0003368,0.0003368,0.0003368
86,300.565,1.15829,0.55897,1.16383,0.99415,1,0.995,0.56318,1.64669,0.57349,1.45793,0.000317,0.000317,0.000317
87,304.03,1.10768,0.54557,1.15626,0.99416,1,0.995,0.53258,1.62803,0.59512,1.43586,0.0002972,0.0002972,0.0002972
88,307.505,1.17859,0.54676,1.14955,0.99428,1,0.995,0.54171,1.67412,0.59005,1.4499,0.0002774,0.0002774,0.0002774
89,310.993,1.11077,0.52162,1.1237,0.99425,1,0.995,0.54185,1.68896,0.5925,1.44491,0.0002576,0.0002576,0.0002576
90,314.468,1.14339,0.52969,1.14341,0.99413,1,0.995,0.52531,1.64823,0.57617,1.418,0.0002378,0.0002378,0.0002378
91,318.852,1.10865,0.50667,1.14939,0.99419,1,0.995,0.5422,1.63317,0.57726,1.41194,0.000218,0.000218,0.000218
92,322.395,1.04154,0.4824,1.10794,0.9941,1,0.995,0.57064,1.64812,0.56884,1.42488,0.0001982,0.0001982,0.0001982
93,325.935,1.08643,0.49095,1.09674,0.99427,1,0.995,0.54525,1.6803,0.56776,1.44092,0.0001784,0.0001784,0.0001784
94,329.431,1.1333,0.48173,1.13746,0.99361,1,0.995,0.52807,1.70323,0.58396,1.46111,0.0001586,0.0001586,0.0001586
95,332.975,1.09116,0.47059,1.11051,0.99377,1,0.995,0.53797,1.70773,0.57402,1.47442,0.0001388,0.0001388,0.0001388
96,336.488,1.06463,0.4778,1.10637,0.99325,1,0.995,0.52124,1.71178,0.56525,1.47844,0.000119,0.000119,0.000119
97,340.007,1.01583,0.46776,1.08142,0.99198,1,0.995,0.50589,1.70373,0.54604,1.47065,9.92e-05,9.92e-05,9.92e-05
98,343.526,1.04151,0.46498,1.07889,0.99014,1,0.995,0.50169,1.68516,0.5366,1.45261,7.94e-05,7.94e-05,7.94e-05
99,347.108,1.01124,0.45294,1.06573,0.99367,1,0.995,0.50693,1.68038,0.53139,1.44862,5.96e-05,5.96e-05,5.96e-05
100,350.659,1.01885,0.46081,1.07628,0.99371,1,0.995,0.52217,1.68184,0.51578,1.4444,3.98e-05,3.98e-05,3.98e-05
